分类编码,分类名称,上级分类
0,未分类,
570,D系列电磁炉成品,
569,家用电磁炉成品,
1,商用电磁炉成品,
156,2200W平面双灶,家用双灶
157,2500W双灶,家用双灶
160,阁兰喜3500W单灶（足）,商用单灶
78,3.5KW双灶台式,3.5KW双灶
79,3.5KW双灶嵌入式,停用
81,3.5KW双灶台式一平一凹,3.5KW双灶台式
82,3.5KW双灶台式双平面,3.5KW双灶台式
83,3.5KW双灶台式双凹面,3.5KW双灶台式
84,3.5KW双灶嵌入式一平一凹,3.5KW双灶嵌入式
85,3.5KW双灶嵌入式双平面,3.5KW双灶嵌入式
86,3.5KW双灶嵌入式双凹面,3.5KW双灶嵌入式
91,4.2K双灶台式-3300W,4.2K双灶
92,4.2K双灶嵌入式,停用
93,4.2K双灶台式-2800W,4.2K双灶
94,4.2K双灶台式一平一凹-实,4.2K双灶台式-3300W
95,4.2K双灶台式双平-实,4.2K双灶台式-3300W
96,4.2K双灶台式双凹-实,4.2K双灶台式-3300W
97,4.2K双灶嵌入式一平一凹,4.2K双灶嵌入式
98,4.2K双灶嵌入式双平,4.2K双灶嵌入式
99,4.2K双灶嵌入式双凹,4.2K双灶嵌入式
104,5KW双灶台式,5KW双灶
105,5KW双灶嵌入式,停用
107,5KW双灶台式220V3300W,5KW双灶台式
501,5KW双灶台式220V5000W,5KW双灶台式
108,5KW双灶台式380V,5KW双灶台式
109,5KW双灶嵌入式220V,5KW双灶嵌入式
110,5KW双灶嵌入式380V,5KW双灶嵌入式
113,5KW双灶台式220V一平一凹-虚,5KW双灶台式220V3300W
114,5KW双灶台式220V双凹-虚,5KW双灶台式220V3300W
115,5KW双灶台式220V双平-虚,5KW双灶台式220V3300W
116,5KW双灶台式380V一平一凹,5KW双灶台式380V
117,5KW双灶台式380V双凹,5KW双灶台式380V
118,5KW双灶台式380V双平,5KW双灶台式380V
119,5KW双灶嵌入式220V一平一凹,5KW双灶嵌入式220V
120,5KW双灶嵌入式220V双凹,5KW双灶嵌入式220V
121,5KW双灶嵌入式220V双平,5KW双灶嵌入式220V
122,5KW双灶嵌入式380V一平一凹,5KW双灶嵌入式380V
123,5KW双灶嵌入式380V双凹,5KW双灶嵌入式380V
124,5KW双灶嵌入式380V双平,5KW双灶嵌入式380V
167,阁兰喜4200W单灶（足),商用单灶
174,阁兰喜5000W单灶（足）,商用单灶
131,阁兰喜6000W单灶（大型）,商用单灶
132,6000W平面,阁兰喜6000W单灶（大型）
133,6000W凹面,阁兰喜6000W单灶（大型）
134,6000W平面220V台式,6000W平面
135,6000W平面380V台式,6000W平面
136,6000W凹面220V,6000W凹面
137,6000W凹面380V,6000W凹面
138,6000W凹面220V台式,6000W凹面220V
139,6000W凹面220V落地式,6000W凹面220V
140,6000W凹面380V台式,6000W凹面380V
141,6000W凹面380V落地式,6000W凹面380V
145,阁兰喜7000W单灶,停用
146,7000W单灶凹面,阁兰喜7000W单灶
147,阁兰喜8000W单灶（足）,商用单灶
582,拼多多-既明单灶,商用单灶
77,3.5KW双灶,商用双灶
90,4.2K双灶,商用双灶
103,5KW双灶,商用双灶
148,8000W单灶平面,阁兰喜8000W单灶（足）
149,8000W单灶凹面,阁兰喜8000W单灶（足）
150,220V（680*380）,2200W平面双灶
151,220V（750*大面板）,2200W平面双灶
152,2200V（680*380）不包边,220V（680*380）
153,2200V（680*380）包边,220V（680*380）
154,2200V（750大面板）不包边,220V（750*大面板）
155,2200V（750大面板）包边,220V（750*大面板）
158,2500W双灶（包边·）,2500W双灶
159,2500W双灶（非包边）,2500W双灶
162,3500W全钢,阁兰喜3500W单灶（足）
166,3500W全钢2800W,3500W全钢
168,4200W全钢3800W,阁兰喜4200W单灶（足)
169,4200W全钢3300W,阁兰喜4200W单灶（足)
172,4200W全钢平面,4200W全钢3300W
173,4200W全钢凹面,4200W全钢3300W
176,5000W单灶,阁兰喜5000W单灶（足）
177,5000W单灶（足）220V,5000W单灶
178,5000W单灶（足）380V,5000W单灶
179,5000W单灶（足）220V平面,5000W单灶（足）220V
180,5000W单灶（足）220V凹面,5000W单灶（足）220V
181,5000W单灶（足）380V平面,5000W单灶（足）380V
182,5000W单灶（足）380V凹面,5000W单灶（足）380V
188,D25平面,D25
189,D25凹面,D25
311,炒锅/配件,
192,四楼供应商原材料,
193,普及双灶底壳,四楼供应商原材料
194,益彩玻璃,停用
195,越航电源线,四楼供应商原材料
196,腾进达机壳,四楼供应商原材料
197,立盈线盘,四楼供应商原材料
198,万恒盛主板,四楼供应商原材料
199,联睿主板,四楼供应商原材料
200,鸿苍微晶板,四楼供应商原材料
201,精一风扇,四楼供应商原材料
202,蓝博万纸箱,停用
203,雅盈贴纸说明书,四楼供应商原材料
204,众赢珍珠棉,四楼供应商原材料
205,3.5KW平、凹面型号,单炉
209,家用双灶,万恒盛主板
210,4.2KW拼多多旋钮,万恒盛主板
211,4.2KW旋钮（足功率）,万恒盛主板
212,5000W旋钮220V,万恒盛主板
213,3.5KW旋钮,万恒盛主板
214,2500整版,万恒盛主板
215,5000W磁控220V,万恒盛主板
216,3.5KW磁控,万恒盛主板
217,6KW磁控220V,万恒盛主板
218,6KW旋钮220V,万恒盛主板
219,联睿主板 5000KW380V磁控,联睿主板
220,联睿主板 5000KW380V旋钮,联睿主板
221,联睿主板 5000KW220V旋钮（虚标）,联睿主板
222,联睿主板 5000KW220V磁控,联睿主板
223,联睿主板 5000KW220V旋钮,联睿主板
224,联睿主板 6KW380V磁控,联睿主板
225,联睿主板 6KW380V旋钮,联睿主板
226,联睿主板 7KW380V磁控,联睿主板
227,联睿主板 7KW220V磁控,联睿主板
228,联睿主板 8KW380V磁控,联睿主板
234,恒和玻璃,四楼供应商原材料
235,汇能硅胶,四楼供应商原材料
236,顺志,四楼供应商原材料
237,铂金包边,四楼供应商原材料
238,新兴&#x9;包装,停用
239,雅厨（厨帮）,四楼供应商原材料
240,旧供应商机壳,停用
241,鸿弈传感器,四楼供应商原材料
242,滋盈气泡袋,四楼供应商原材料
243,新野旋钮,四楼供应商原材料
244,芯能炉盘,四楼供应商原材料
245,鸿厦旋钮防水护线套,四楼供应商原材料
246,快利六角隔离柱,四楼供应商原材料
247,单炉,腾进达机壳
248,双炉,腾进达机壳
249,4.2KW平、凹面型号,单炉
250,5KW平、凹面型号,单炉
327,3.5双灶,双炉
328,4.2双灶,双炉
329,5KW双灶,双炉
251,4.2KW一平一凹旋钮型号,双炉
252,5KW双平磁控型号,双炉
253,5KW220V一凹一平磁控型号,双炉
254,美斯达螺丝,四楼供应商原材料
257,灏景（豪景）螺丝,四楼供应商原材料
258,3.5KW一平一凹嵌入式,双炉
259,桂盈外壳,停用
260,3.5KW双平旋钮款,双炉
261,3.5KW双凹旋钮款,双炉
262,5KW220V双凹磁控型号,双炉
263,澳伦,四楼供应商原材料
264,D25-3500平面旋钮按键款,澳伦
265,D36-3500W平面按键,澳伦
266,D36-3500W凹面按键,澳伦
493,既明电磁炉（既明配置）,拼多多-既明单灶
581,既明电磁炉 （一键猛火）,拼多多-既明单灶
299,既明电磁炉（双系统）,拼多多-既明单灶
304,阁兰喜电磁炉（既明配置）,拼多多-阁兰喜商标
305,阁兰喜电磁炉 （一键猛火）,拼多多-阁兰喜商标
469,阁兰喜电磁炉双系统（既明配置）,拼多多-阁兰喜商标
583,拼多多-阁兰喜商标,商用单灶
584,拼多多-磁控款单灶,商用单灶
397,飞为电磁炉（既明配置）,拼多多-飞为商标
398,飞为电磁炉（一键猛火）,拼多多-飞为商标
588,拼多多-飞为商标,商用单灶
400,拼多多-米洲商标（足）系列,商用单灶
271,陈兴富机壳,停用
272,7000W单灶平面,阁兰喜7000W单灶
273,3.5KW一平一凹磁控款,双炉
274,双旋钮平、凹款,澳伦
275,5kw旋钮型号,双炉
276,二楼主板配件供应商原材料,
277,佳荣,二楼主板配件供应商原材料
278,信尔,二楼主板配件供应商原材料
279,德尔迪,二楼主板配件供应商原材料
280,雨乐,二楼主板配件供应商原材料
281,一源兴通,二楼主板配件供应商原材料
282,科霖,二楼主板配件供应商原材料
283,创格,二楼主板配件供应商原材料
284,金大泽,二楼主板配件供应商原材料
285,智彩,二楼主板配件供应商原材料
286,好尔,二楼主板配件供应商原材料
287,信宇博,二楼主板配件供应商原材料
288,拓瑞,二楼主板配件供应商原材料
289,长玖,二楼主板配件供应商原材料
290,新兴包装,四楼供应商原材料
382,MD-3505A双系统（足）阁兰喜,MD-3505系列
531,拼多多PDD-123款,商用单灶
589,MD-3505系列,商用单灶
410,阁兰喜天猫双系统（3风扇）,商用单灶
343,拼多多款磁控,拼多多-磁控款单灶
323,奥米康家用双灶,停用
185,D25,停用
291,（旧款）多头炉,商用多头炉
414,滑动款双灶,家用双灶
292,5kw嵌入式,双炉
293,5kw嵌入式,万恒盛主板
294,2500双电陶,澳伦
297,志宏,二楼主板配件供应商原材料
298,信誉君,四楼供应商原材料
300,腾宇电器厂（李姐电源线）,四楼供应商原材料
301,好创成,四楼供应商原材料
308,英文版家用双灶220V,2200W平面双灶
309,攀越外壳,停用
310,燚鑫炉盘,四楼供应商原材料
312,君泰焊锡,四楼供应商原材料
313,千塑商用内衬,四楼供应商原材料
314,启盛五金,四楼供应商原材料
315,退货包装费,杂件
316,D18,澳伦
317,主板发外AI加工,杂件
320,奥米康家用双灶（旋钮/六键）,双炉
321,海明晖主板,二楼主板配件供应商原材料
324,六键款,奥米康家用双灶
325,旋钮款,奥米康家用双灶
330,家用双灶,普及双灶底壳
331,整版一电一陶/双电磁,普及双灶底壳
332,芯片,万恒盛主板
335,杂件,
296,自制主板,
337,合强锅具,炒锅/配件
338,佳仕达锅具,炒锅/配件
339,茂名（家用双灶内衬）,四楼供应商原材料
340,进隆,四楼供应商原材料
341,空开/转换插,炒锅/配件
336,其他锅具,炒锅/配件
342,8000W单灶 虚标,阁兰喜8000W单灶（足）
348,铂丰,四楼供应商原材料
349,商用炉机壳/底板,铂丰
350,家用双灶机壳/边条/耳仔,铂丰
351,有光,二楼主板配件供应商原材料
352,深懋,二楼主板配件供应商原材料
353,碳膜,佳荣
354,金膜,佳荣
355,贴片电容,佳荣
356,绕线电阻,佳荣
357,玻璃釉,佳荣
358,脉冲电阻,佳荣
362,康铜丝,佳荣
364,压敏电阻,佳荣
365,插座,信尔
366,瓷片电容,信尔
367,涤纶电容,信尔
368,电解电容,信尔
369,电流保险管,信尔
370,二极管/三极管,信尔
371,蜂鸣器,信尔
372,贴片电容,信尔
373,其他小件,信尔
374,其他小件,佳荣
375,多件,信尔
376,接线柱,佳荣
377,微晶板,鸿苍微晶板
378,多件,鸿苍微晶板
380,其他AI加工,主板发外AI加工
381,定定AI,主板发外AI加工
385,恩辉  磁控透明壳,四楼供应商原材料
387,益尔,四楼供应商原材料
388,美奥多款,拼多多款磁控
389,万恒盛款,拼多多款磁控
390,联睿款,拼多多款磁控
391,讯科,四楼供应商原材料
392,达胜包边,四楼供应商原材料
393,旋钮款,商用炉机壳/底板
394,磁控款,商用炉机壳/底板
399,迪普特,四楼供应商原材料
401,停用,
402,尚塑（千品）底壳,四楼供应商原材料
404,黑晶风扇,澳伦
408,远博晶板,四楼供应商原材料
405,源柏纸箱厂,四楼供应商原材料
409,炜丰电源线,四楼供应商原材料
411,领鑫,二楼主板配件供应商原材料
413,滑动款（SL-C02）/按键款（20H1）/旋钮款(20T1),商用炉机壳/底板
415,2500W双灶（一平一凹）,滑动款双灶
416,3500W双灶（一平一凹）,滑动款双灶
417,凌之采,四楼供应商原材料
425,单电磁炉面壳,铂丰
427,单电磁平凹机壳,单电磁炉面壳
432,塑料内衬,四楼供应商原材料
436,德谦面贴,四楼供应商原材料
437,110V双灶,2200W平面双灶
442,成品,停用
443,主板物料,停用
444,威力标牌,四楼供应商原材料
445,插头款  5000W单灶（虚）,插头款5000W单灶
446,二楼加工清单,
447,外发打AI清单,
448,插头款5000W单灶,商用单灶
449,4200W全钢 欧规版  3300W,阁兰喜4200W单灶（足)
455,大都正平,四楼供应商原材料
456,艾力森,二楼主板配件供应商原材料
468,同创,二楼主板配件供应商原材料
477,MD-3505F,MD-3505系列
478,MD-3505T,MD-3505系列
487,多头炉,腾进达机壳
488,云磁主板,四楼供应商原材料
491,单电磁底板,单电磁炉面壳
492,金乙源,四楼供应商原材料
495,阁兰喜3500W按键旋钮款,家用双灶
496,20H1（阁兰喜按键款）,阁兰喜3500W按键旋钮款
497,20T1（阁兰喜旋钮款）,阁兰喜3500W按键旋钮款
498,4.2K双灶台式一平一凹-虚,4.2K双灶台式-2800W
499,4.2K双灶台式双平-虚,4.2K双灶台式-2800W
500,4.2K双灶台式双凹 -虚,4.2K双灶台式-2800W
502,5KW双灶台式220V一平一凹-实,5KW双灶台式220V5000W
503,5KW双灶台式220V双凹-实,5KW双灶台式220V5000W
504,5KW双灶台式220V双平-实,5KW双灶台式220V5000W
505,鸿鑫达,四楼供应商原材料
506,勇华测试架,二楼主板配件供应商原材料
507,多头炉底板/面壳,铂丰
508,（新款）多头炉  双排/单排,商用多头炉
509,北强,炒锅/配件
510,惠京,二楼主板配件供应商原材料
511,双排多头炉,（旧款）多头炉
513,多头炉  2000W,（新款）多头炉  双排/单排
514,多头炉 2500W,（新款）多头炉  双排/单排
515,多头炉  3000W,（新款）多头炉  双排/单排
516,多头炉  3500W,（新款）多头炉  双排/单排
517,商用双灶整套机壳,铂丰
518,商用双灶旋钮款,商用双灶整套机壳
519,商用双灶磁控款,商用双灶整套机壳
520,越航不常用,越航电源线
521,越航加工款,越航电源线
525,商用 嵌入式双灶,商用双灶整套机壳
526,P18电磁炉,商用单灶
183,3500W黑晶电陶炉,商用单灶
523,二楼3C认证成品,商用单灶
527,不包边,恒和玻璃
528,包边,恒和玻璃
529,主板芯片,一源兴通
530,灯板芯片,一源兴通
532,380V常用款主板,联睿主板
533,常用款线盘,立盈线盘
534,配联睿线盘,立盈线盘
535,配云磁款线盘,立盈线盘
536,常用款包材,雅盈贴纸说明书
537,阁兰喜面贴,雅盈贴纸说明书
538,越航常用款,越航电源线
539,多头炉2200W,（新款）多头炉  双排/单排
540,12KW/380V平面磁控,商用单灶
541,品如,四楼供应商原材料
542,多头炉电源线,越航电源线
543,欧米固,四楼供应商原材料
544,MD-3505C,MD-3505系列
545,多头炉面壳,多头炉底板/面壳
546,多头炉底板,多头炉底板/面壳
547,零散供应商,四楼供应商原材料
548,冷门款线盘,立盈线盘
549,既明面贴,雅盈贴纸说明书
550,飞为面贴,雅盈贴纸说明书
551,米洲面贴,雅盈贴纸说明书
552,冷门款面贴,雅盈贴纸说明书
553,钜鑫线盘,四楼供应商原材料
555,3500W全钢3300W,3500W全钢
556,4.2K双灶台式-3800W,4.2K双灶
557,忠华纸箱,四楼供应商原材料
558,主板,自制主板
559,灯板,自制主板
560,升亿电器,四楼供应商原材料
561,麦恩斯面壳,四楼供应商原材料
562,谷美风扇,四楼供应商原材料
563,启发泡沫,四楼供应商原材料
564,镁琪琳主板,四楼供应商原材料
565,蓝京线盘,四楼供应商原材料
566,富宝陶瓷板,四楼供应商原材料
567,盛和印刷,四楼供应商原材料
571,家用单灶,家用电磁炉成品
572,家用双灶,家用电磁炉成品
573,家用多头炉,家用电磁炉成品
574,商用单灶,商用电磁炉成品
575,商用双灶,商用电磁炉成品
576,商用多头炉,商用电磁炉成品
577,绿野钢圈,四楼供应商原材料
578,建业,炒锅/配件
585,PDD-1,拼多多PDD-123款
586,PDD-2,拼多多PDD-123款
587,PDD-3,拼多多PDD-123款
590,锋固螺丝,四楼供应商原材料
591,MD-3505K,MD-3505系列
592,C06电陶炉物料-1,
593,艺林,C06电陶炉物料-1
600,C06电陶炉（双耳）,商用单灶
601,英文版家用双灶220V  680*380,英文版家用双灶220V
602,英文版家用双灶220V   750*430,英文版家用双灶220V
603,电陶炉-2,
604,二楼电陶炉电子加工物料,
605,芯鹿智云,C06电陶炉物料-1
606,金码数码管,二楼主板配件供应商原材料
607,风扇,澳伦
